population,haplotypes,pairs,runtime_seconds,records,ibs_rate,fold_enrichment
EUR,60,1770,1119.682550996,949120,0.26691189084149575,3.0198907937922037
EAS,100,4950,1756.294778501,2459313,0.24730259287750578,2.79802754818151
AMR,88,3828,1564.963766225,1683105,0.2188564469292572,2.476182560319957
CSA,72,2556,1310.221388553,1050629,0.20460139855782,2.3148982907947375
AFR,134,8911,2317.128822148,1582279,0.0883846168842163,1.0
